subject,block,trial_number,pss_ms,theta_phase_deg,gamma_amplitude,t_start,t_end
S01_TestSubject,B3,21,20.789024478281757,170.37,5.1841,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,22,20.789024478281757,186.75,5.7017,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,23,20.789024478281757,68.5,7.269,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,24,20.789024478281757,25.23,4.4703,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,25,20.789024478281757,278.49,3.3255,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,26,20.789024478281757,245.31,2.2055,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,27,20.789024478281757,301.76,1.8105,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,28,20.789024478281757,168.84,4.4884,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,29,20.789024478281757,37.86,5.9295,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,30,20.789024478281757,339.38,4.161,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,31,20.789024478281757,258.0,1.5952,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,32,20.789024478281757,346.2,3.0006,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,33,20.789024478281757,103.6,8.2636,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,34,20.789024478281757,343.08,3.0681,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,35,20.789024478281757,123.72,7.5775,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,36,20.789024478281757,288.29,1.3454,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,37,20.789024478281757,61.41,7.2116,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,38,20.789024478281757,120.42,8.4351,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,39,20.789024478281757,33.5,6.2386,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,40,20.789024478281757,105.61,7.6646,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,41,20.789024478281757,5.6,3.6823,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,42,20.789024478281757,65.11,6.4136,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,43,20.789024478281757,153.81,8.2308,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,44,20.789024478281757,26.05,6.096,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,45,20.789024478281757,104.28,7.1584,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,46,20.789024478281757,123.63,6.2805,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,47,20.789024478281757,45.63,4.8984,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,48,20.789024478281757,103.83,8.3397,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,49,20.789024478281757,48.51,6.6586,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,50,20.789024478281757,263.31,3.3032,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,51,20.789024478281757,317.72,2.3743,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,52,20.789024478281757,93.67,9.5127,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,53,20.789024478281757,42.47,6.8023,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,54,20.789024478281757,191.73,6.8571,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,55,20.789024478281757,64.79,7.8537,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,56,20.789024478281757,254.06,2.4854,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,57,20.789024478281757,242.82,1.9149,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,58,20.789024478281757,221.62,2.249,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,59,20.789024478281757,240.57,2.8235,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,60,20.789024478281757,247.45,3.1475,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,61,20.789024478281757,169.01,6.6281,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,62,20.789024478281757,31.97,7.1577,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,63,20.789024478281757,331.12,2.8232,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,64,20.789024478281757,318.6,0.1,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,65,20.789024478281757,121.99,7.1334,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,66,20.789024478281757,325.35,4.0205,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,67,20.789024478281757,285.11,1.6799,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,68,20.789024478281757,297.76,1.8911,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,69,20.789024478281757,215.3,4.4819,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,70,20.789024478281757,132.82,8.517,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,71,20.789024478281757,352.96,4.3431,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,72,20.789024478281757,190.65,5.4679,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,73,20.789024478281757,257.46,2.6354,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,74,20.789024478281757,334.22,2.9929,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,75,20.789024478281757,171.03,7.8615,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,76,20.789024478281757,118.36,7.4321,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,77,20.789024478281757,318.31,3.5052,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,78,20.789024478281757,237.08,2.0559,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,79,20.789024478281757,356.45,4.8467,1771977537.4547849,1771977538.4547849
S01_TestSubject,B3,80,20.789024478281757,239.72,2.3297,1771977537.4547849,1771977538.4547849
