subject,block,trial_number,soa,response,t_start,t_end,theta_phase_deg,phase_error_deg,gamma_amplitude
S01_TestSubject,B4,37,100,L,1771977537.457106,1771977538.3612652,110.05,0.05,10.2428
S01_TestSubject,B4,38,-150,S,1771977537.457106,1771977538.528279,88.19,21.81,10.5518
S01_TestSubject,B4,39,100,L,1771977537.457106,1771977538.4140382,123.01,13.01,11.3992
S01_TestSubject,B4,40,50,=,1771977537.457106,1771977538.6533852,121.42,11.42,10.5589
S01_TestSubject,B4,41,50,L,1771977537.457106,1771977538.1452658,112.23,2.23,11.7237
S01_TestSubject,B4,42,150,L,1771977537.457106,1771977538.6082323,109.6,0.4,11.6307
S01_TestSubject,B4,43,-100,S,1771977537.457106,1771977538.364543,99.47,10.53,9.9397
S01_TestSubject,B4,44,50,L,1771977537.457106,1771977538.5892258,118.94,8.94,11.7871
S01_TestSubject,B4,45,-100,S,1771977537.457106,1771977538.8270776,114.54,4.54,10.6757
S01_TestSubject,B4,46,-150,S,1771977537.457106,1771977538.5622053,101.03,8.97,12.3342
S01_TestSubject,B4,47,0,S,1771977537.457106,1771977538.615996,113.26,3.26,9.9114
S01_TestSubject,B4,48,100,L,1771977537.457106,1771977538.3069615,99.8,10.2,10.8866
S01_TestSubject,B4,49,-50,S,1771977537.457106,1771977538.9445803,129.93,19.93,11.4211
S01_TestSubject,B4,50,150,L,1771977537.457106,1771977538.7253618,111.3,1.3,11.9852
S01_TestSubject,B4,51,150,L,1771977537.457106,1771977538.1389785,118.34,8.34,11.0676
S01_TestSubject,B4,52,150,L,1771977537.457106,1771977538.667734,112.0,2.0,11.8227
S01_TestSubject,B4,53,0,S,1771977537.457106,1771977538.8204567,107.99,2.01,12.118
S01_TestSubject,B4,54,-150,S,1771977537.457106,1771977538.489997,117.51,7.51,10.6207
S01_TestSubject,B4,55,-100,S,1771977537.457106,1771977538.335954,118.83,8.83,12.0415
S01_TestSubject,B4,56,-50,S,1771977537.457106,1771977538.63796,106.05,3.95,10.2617
S01_TestSubject,B4,57,100,L,1771977537.457106,1771977538.7811918,99.93,10.07,10.7495
S01_TestSubject,B4,58,-150,S,1771977537.457106,1771977538.0938299,109.04,0.96,10.7514
S01_TestSubject,B4,59,0,L,1771977537.457106,1771977538.8420663,109.17,0.83,10.9006
S01_TestSubject,B4,60,50,L,1771977537.457106,1771977538.600866,113.55,3.55,11.3214
S01_TestSubject,B4,61,-50,S,1771977537.457106,1771977538.6370451,117.35,7.35,10.5779
S01_TestSubject,B4,62,0,S,1771977537.457106,1771977538.6086752,117.01,7.01,10.5164
S01_TestSubject,B4,63,-150,S,1771977537.457106,1771977538.3020663,112.85,2.85,9.7578
S01_TestSubject,B4,64,-150,S,1771977537.457106,1771977538.748422,106.86,3.14,11.1965
S01_TestSubject,B4,65,150,L,1771977537.457106,1771977538.0918357,108.09,1.91,11.5358
S01_TestSubject,B4,66,-150,S,1771977537.457106,1771977538.2298758,101.06,8.94,10.6532
S01_TestSubject,B4,67,100,L,1771977537.457106,1771977538.3316977,103.68,6.32,10.9932
S01_TestSubject,B4,68,100,L,1771977537.457106,1771977538.517206,115.94,5.94,12.7606
S01_TestSubject,B4,69,-150,S,1771977537.457106,1771977538.483957,109.43,0.57,10.8836
S01_TestSubject,B4,70,0,L,1771977537.457106,1771977538.348972,118.91,8.91,11.8894
S01_TestSubject,B4,71,50,L,1771977537.457106,1771977538.5488155,110.63,0.63,10.9377
S01_TestSubject,B4,72,0,S,1771977537.457106,1771977538.8213298,117.77,7.77,11.4775
S01_TestSubject,B4,73,-50,S,1771977537.457106,1771977538.5489335,107.93,2.07,10.0496
S01_TestSubject,B4,74,150,L,1771977537.457106,1771977538.5423226,105.85,4.15,11.0898
S01_TestSubject,B4,75,0,S,1771977537.457106,1771977538.309606,107.12,2.88,10.6893
S01_TestSubject,B4,76,50,L,1771977537.457106,1771977538.7727976,109.0,1.0,10.5133
S01_TestSubject,B4,77,-50,S,1771977537.457106,1771977538.5140152,115.73,5.73,10.9287
S01_TestSubject,B4,78,-100,S,1771977537.457106,1771977538.5767336,99.92,10.08,11.058
S01_TestSubject,B4,79,-100,S,1771977537.457106,1771977538.012794,94.71,15.29,10.7174
S01_TestSubject,B4,80,50,L,1771977537.457106,1771977538.4767754,110.5,0.5,9.1939
S01_TestSubject,B4,81,150,L,1771977537.457106,1771977538.371918,117.89,7.89,11.1259
S01_TestSubject,B4,82,-100,S,1771977537.457106,1771977538.9296575,124.26,14.26,10.9722
S01_TestSubject,B4,83,50,L,1771977537.457106,1771977538.9148834,112.95,2.95,11.4608
S01_TestSubject,B4,84,-50,S,1771977537.457106,1771977538.639751,105.78,4.22,10.1675
S01_TestSubject,B4,85,-50,S,1771977537.457106,1771977538.8534622,119.82,9.82,11.9478
S01_TestSubject,B4,86,-50,S,1771977537.457106,1771977538.505564,116.39,6.39,10.4167
S01_TestSubject,B4,87,0,S,1771977537.457106,1771977537.9654305,100.85,9.15,10.154
S01_TestSubject,B4,88,50,L,1771977537.457106,1771977538.3228624,111.15,1.15,11.9991
S01_TestSubject,B4,89,-150,S,1771977537.457106,1771977538.7747357,113.68,3.68,11.4617
S01_TestSubject,B4,90,100,L,1771977537.457106,1771977538.3218,118.31,8.31,10.4624
S01_TestSubject,B4,91,100,L,1771977537.457106,1771977538.1993272,111.87,1.87,11.3879
S01_TestSubject,B4,92,-150,S,1771977537.457106,1771977538.659817,112.48,2.48,9.7701
S01_TestSubject,B4,93,-100,S,1771977537.457106,1771977538.6960683,114.8,4.8,11.2188
S01_TestSubject,B4,94,50,L,1771977537.457106,1771977538.3020668,107.66,2.34,9.7906
S01_TestSubject,B4,95,-150,L,1771977537.457106,1771977538.8727288,102.07,7.93,12.3977
S01_TestSubject,B4,96,0,L,1771977537.457106,1771977538.7975242,109.47,0.53,10.4615
S01_TestSubject,B4,97,-150,=,1771977537.457106,1771977538.9165018,110.38,0.38,10.4725
S01_TestSubject,B4,98,0,L,1771977537.457106,1771977538.4026477,107.26,2.74,10.468
S01_TestSubject,B4,99,100,L,1771977537.457106,1771977538.6519673,121.11,11.11,11.0642
S01_TestSubject,B4,100,150,L,1771977537.457106,1771977538.0844336,121.17,11.17,10.3661
S01_TestSubject,B4,101,150,L,1771977537.457106,1771977538.3958414,132.86,22.86,10.2828
S01_TestSubject,B4,102,-100,S,1771977537.457106,1771977538.6380637,105.71,4.29,11.2991
S01_TestSubject,B4,103,-50,S,1771977537.457106,1771977538.3617663,116.19,6.19,11.2685
S01_TestSubject,B4,104,-50,S,1771977537.457106,1771977538.0985272,123.96,13.96,9.4268
S01_TestSubject,B4,105,100,L,1771977537.457106,1771977538.5727823,112.0,2.0,10.3992
